Product Name,Features,Description
Water Clamp Sensor,Consumption deviation analysis,Compares real-time water usage against historical baselines to identify abnormal or inefficient usage patterns.
Water Clamp Sensor,Water usage event identification,Detects and classifies water usage events based on flow characteristics and duration.
Water Clamp Sensor,Abnormal consumption alerts,Sends alerts when water consumption exceeds expected thresholds or deviates significantly from normal behavior.
Water Clamp Sensor,Budget deviation alerts,Monitors water usage against predefined consumption budgets and triggers alerts when limits are exceeded.
Water Clamp Sensor,Empty pipe detection,Detects absence of water flow indicative of empty or disconnected pipes.
Water Clamp Sensor,Water pipe freezing detection,Identifies flow and signal patterns consistent with pipe freezing conditions to enable early intervention.
Water Clamp Sensor,Water hammer damage prevention,"Detects dangerous pressure spikes from appliances damaging pipes, preventing costly burst pipes and appliance failures."
Water Clamp Sensor,Backflow detection,"Detects reverse flow conditions in water pipes that may indicate contamination risks, cross-connections, or backflow events affecting water quality."
Water Clamp Sensor,Water stagnation detection,"Detects prolonged periods with no water movement in pipes, indicating stagnation conditions associated with bacterial growth risks such as Legionella."
Water Clamp Sensor,Air-water mixture detection,"Identifies abnormal ultrasonic signal patterns indicative of air presence in water lines, which may signal leaks, pump issues, or system faults."
Water Clamp Sensor,Drought restriction monitoring,"Supports detection of water usage patterns that violate municipal drought restrictions, such as excessive outdoor or non-essential water use."
Electrical Panel Sensor,Non-intrusive installation,"Sensor strips are mounted above existing circuit breakers without cutting wires or modifying the electrical panel, allowing installation without disrupting power supply."
Electrical Panel Sensor,DIY installation,Sensor can be installed with no or minimal calibration steps from the user side.
Electrical Panel Sensor,Real-time load state detection,"Detects and classifies individual circuit states such as OFF, low, medium, and high power in near real time."
Electrical Panel Sensor,Individual circuit consumption tracking,Enables monitoring of electricity usage at circuit level rather than whole-panel aggregation.
Electrical Panel Sensor,Ghost load detection,"Identifies circuits drawing power when they are expected to be inactive, helping detect standby and phantom loads."
Electrical Panel Sensor,Abnormal consumption detection,"Detects unexpected electricity usage spikes that may indicate malfunctioning appliances, unsafe devices, or abnormal household behavior."
Electrical Panel Sensor,Location-based load identification,Associates electrical loads with physical locations or appliances rather than anonymous circuit numbers.
Electrical Panel Sensor,AR-assisted load labeling,Uses augmented reality tools during setup to visually map and label circuits for easier identification in the application.
Electrical Panel Sensor,Consumption heat map generation,Generates visual heat maps highlighting high-consumption circuits and zones within a building.
Electrical Panel Sensor,Historical consumption comparison,Compares real-time circuit consumption against historical baselines to detect abnormal usage patterns.
Electrical Panel Sensor,Budget deviation alerts,Triggers alerts when circuit or panel consumption exceeds predefined budget thresholds based on historical behavior.
Electrical Panel Sensor,Heat safety monitoring,"Monitors the surface temperature of individual circuit breakers to detect abnormal heat buildup that may indicate overloads, loose connections, or potential failure risks."
Electrical Panel Sensor,Best time to run appliance notifications,"Sends user notifications indicating optimal time windows to operate specific appliances based on electricity cost data, historical consumption trends, and predefined user preferences."
Electrical Panel Sensor,Forgotten appliance detection,Detects appliances left ON unnecessarily for extended periods and generates alerts to reduce safety risks and energy waste.
Electrical Panel Sensor,Consumption evolution tracking,"Tracks electricity usage patterns over time to understand behavioral changes, seasonal variations, and the impact of efficiency measures."
